Date,Commodity,Unit,Minimum,Maximum,Average
2023-05-16,Tomato Big(Nepali),KG,50.0,60.0,55.0
2023-05-16,Sweet Orange,KG,150.0,180.0,170.0
2023-05-16,Water Melon(Dotted),KG,35.0,40.0,37.5
2023-05-16,Water Melon(Green),KG,35.0,40.0,38.33
2023-05-16,Grapes(Black),KG,300.0,350.0,325.0
2023-05-16,Grapes(Green),KG,150.0,160.0,155.0
2023-05-16,Mango(Dushari),KG,220.0,250.0,235.0
2023-05-16,Mango(Maldah),KG,220.0,250.0,235.0
2023-05-16,Pomegranate,KG,250.0,280.0,270.0
2023-05-16,Lime,KG,180.0,200.0,190.0
2023-05-16,Banana,Per Dozen,140.0,150.0,146.67
2023-05-16,Mandarin,KG,200.0,220.0,210.0
2023-05-16,Apple(Fuji),KG,250.0,300.0,283.33
2023-05-16,Tofu,KG,90.0,100.0,96.67
2023-05-16,Bamboo Shoot,KG,90.0,100.0,96.67
2023-05-16,Tamarind,KG,140.0,150.0,146.67
2023-05-16,Turnip A,KG,70.0,80.0,76.67
2023-05-16,Mint,KG,150.0,200.0,175.0
2023-05-16,Fennel Leaf,KG,90.0,100.0,96.67
2023-05-16,Parseley,KG,150.0,200.0,175.0
2023-05-16,Celery,KG,150.0,200.0,183.33
2023-05-16,Knolkhol,KG,70.0,80.0,76.67
2023-05-16,Lettuce,KG,70.0,80.0,76.67
2023-05-16,Gundruk,KG,250.0,300.0,275.0
2023-05-16,Red Cabbbage,KG,60.0,70.0,66.67
2023-05-16,Cucumber(Local),KG,90.0,100.0,96.0
2023-05-16,Jack Fruit,KG,60.0,70.0,66.67
2023-05-16,Fish Fresh(Mungari),KG,300.0,330.0,315.0
2023-05-16,Fish Fresh(Chhadi),KG,260.0,300.0,280.0
2023-05-16,Fish Fresh(Bachuwa),KG,260.0,300.0,280.0
2023-05-16,Fish Fresh(Rahu),KG,330.0,350.0,340.0
2023-05-16,Clive Green,KG,80.0,90.0,86.67
2023-05-16,Clive Dry,KG,80.0,90.0,86.67
2023-05-16,Garlic Dry Nepali,KG,120.0,140.0,130.0
2023-05-16,Garlic Dry Chinese,KG,240.0,260.0,250.0
2023-05-16,Coriander Green,KG,60.0,70.0,65.0
2023-05-16,Garlic Green,KG,80.0,90.0,86.67
2023-05-16,Cucumber(Hybrid),KG,60.0,70.0,66.67
2023-05-16,Capsicum,KG,60.0,70.0,65.0
2023-05-16,Chilli Green(Machhe),KG,90.0,100.0,96.67
2023-05-16,Chilli Green(Bullet),KG,90.0,100.0,96.0
2023-05-16,Chilli Green,KG,90.0,100.0,95.0
2023-05-16,Chilli Dry,KG,450.0,480.0,465.0
2023-05-16,Ginger,KG,250.0,300.0,275.0
2023-05-16,Avocado,KG,500.0,600.0,550.0
2023-05-16,Kiwi,KG,500.0,600.0,550.0
2023-05-16,Papaya(Indian),KG,80.0,90.0,86.67
2023-05-16,Papaya(Nepali),KG,60.0,70.0,66.67
2023-05-16,Pear(Chinese),KG,280.0,300.0,290.0
2023-05-16,Chilli Green(Akbare),KG,350.0,400.0,375.0
2023-05-16,Drumstick,KG,70.0,80.0,75.0
2023-05-16,Pineapple,1 Pc,180.0,200.0,190.0
2023-05-16,Brocauli,KG,120.0,140.0,130.0
2023-05-16,French Bean(Local),KG,70.0,80.0,75.0
2023-05-16,Green Peas,KG,140.0,150.0,146.67
2023-05-16,Cowpea(Short),KG,80.0,90.0,86.67
2023-05-16,Cow pea(Long),KG,35.0,40.0,38.0
2023-05-16,Brinjal Round,KG,60.0,70.0,66.67
2023-05-16,Brinjal Long,KG,30.0,40.0,35.0
2023-05-16,Raddish White(Hybrid),KG,25.0,30.0,27.5
2023-05-16,Raddish White(Local),KG,20.0,25.0,22.5
2023-05-16,Cauli Local(Jyapu),KG,70.0,80.0,75.0
2023-05-16,Cauli Local,KG,60.0,70.0,65.0
2023-05-16,French Bean(Hybrid),KG,90.0,100.0,96.67
2023-05-16,Cabbage(Local),KG,10.0,15.0,12.4
2023-05-16,Onion Dry (Indian),KG,34.0,35.0,34.5
2023-05-16,Potato White,KG,27.0,28.0,27.5
2023-05-16,Potato Red(Indian),KG,30.0,31.0,30.5
2023-05-16,Potato Red,KG,34.0,36.0,35.0
2023-05-16,Tomato Small(Terai),KG,45.0,50.0,48.0
2023-05-16,Tomato Small(Indian),KG,35.0,40.0,37.5
2023-05-16,Tomato Small(Tunnel),KG,45.0,55.0,50.0
2023-05-16,Tomato Small(Local),KG,30.0,35.0,32.5
2023-05-16,Tomato Big(Indian),KG,60.0,70.0,65.0
2023-05-16,Sugarbeet,KG,70.0,80.0,76.67
2023-05-16,Carrot(Local),KG,70.0,80.0,76.0
2023-05-16,French Bean(Rajma),KG,100.0,110.0,106.67
2023-05-16,Raddish Red,KG,50.0,60.0,55.0
2023-05-16,Asparagus,KG,300.0,350.0,325.0
2023-05-16,Neuro,KG,70.0,80.0,76.67
2023-05-16,Soyabean Green,KG,110.0,120.0,116.67
2023-05-16,Mushroom(Button),KG,300.0,350.0,324.0
2023-05-16,Mushroom(Kanya),KG,120.0,140.0,130.0
2023-05-16,Onion Green,KG,70.0,80.0,76.67
2023-05-16,Fenugreek Leaf,KG,90.0,100.0,95.0
2023-05-16,Mustard Leaf,KG,30.0,40.0,35.0
2023-05-16,Spinach Leaf,KG,90.0,100.0,96.67
2023-05-16,Brd Leaf Mustard,KG,30.0,40.0,36.67
2023-05-16,Christophine,KG,40.0,45.0,42.5
2023-05-16,Okara,KG,80.0,90.0,86.0
2023-05-16,Cress Leaf,KG,90.0,100.0,96.67
2023-05-16,Squash(Round),KG,40.0,50.0,46.67
2023-05-16,Bitter Gourd,KG,50.0,60.0,57.5
2023-05-16,Turnip,KG,70.0,80.0,76.67
2023-05-16,Pointed Gourd(Local),KG,100.0,110.0,105.0
2023-05-16,Pointed Gourd(Terai),KG,100.0,110.0,106.67
2023-05-16,Snake Gourd,KG,40.0,50.0,46.67
2023-05-16,Bottle Gourd,KG,40.0,50.0,46.0
2023-05-16,Sponge Gourd,KG,70.0,80.0,75.0
2023-05-16,Pumpkin,KG,45.0,50.0,47.5
2023-05-16,Squash(Long),KG,40.0,45.0,43.33
2023-05-16,Smooth Gourd,KG,50.0,60.0,55.0
2023-05-17,Apple(Fuji),KG,250.0,300.0,283.33
2023-05-17,Sweet Orange,KG,150.0,180.0,165.0
2023-05-17,Water Melon(Green),KG,40.0,45.0,43.33
2023-05-17,Grapes(Black),KG,320.0,350.0,335.0
2023-05-17,Grapes(Green),KG,200.0,220.0,213.33
2023-05-17,Mango(Dushari),KG,200.0,250.0,223.33
2023-05-17,Mango(Maldah),KG,200.0,250.0,223.33
2023-05-17,Pomegranate,KG,250.0,280.0,270.0
2023-05-17,Lime,KG,200.0,220.0,210.0
2023-05-17,Banana,Per Dozen,140.0,150.0,146.67
2023-05-17,Gundruk,KG,250.0,300.0,283.33
2023-05-17,Red Cabbbage,KG,60.0,70.0,63.33
2023-05-17,Bamboo Shoot,KG,90.0,100.0,96.67
2023-05-17,Tamarind,KG,140.0,150.0,146.67
2023-05-17,Turnip A,KG,70.0,80.0,76.67
2023-05-17,Mint,KG,150.0,200.0,175.0
2023-05-17,Fennel Leaf,KG,110.0,120.0,115.0
2023-05-17,Parseley,KG,150.0,200.0,183.33
2023-05-17,Celery,KG,150.0,200.0,183.33
2023-05-17,Knolkhol,KG,70.0,80.0,76.67
2023-05-17,Lettuce,KG,80.0,90.0,86.67
2023-05-17,Mandarin,KG,180.0,200.0,193.33
2023-05-17,Tofu,KG,110.0,120.0,116.67
2023-05-17,Pineapple,1 Pc,180.0,200.0,190.0
2023-05-17,Fish Fresh(Mungari),KG,300.0,330.0,315.0
2023-05-17,Cucumber(Hybrid),KG,60.0,70.0,66.67
2023-05-17,Drumstick,KG,70.0,80.0,76.67
2023-05-17,Fish Fresh(Chhadi),KG,260.0,300.0,280.0
2023-05-17,Fish Fresh(Bachuwa),KG,260.0,300.0,280.0
2023-05-17,Fish Fresh(Rahu),KG,330.0,350.0,343.33
2023-05-17,Clive Green,KG,80.0,90.0,85.0
2023-05-17,Clive Dry,KG,80.0,90.0,86.67
2023-05-17,Garlic Dry Nepali,KG,120.0,140.0,130.0
2023-05-17,Garlic Dry Chinese,KG,240.0,260.0,250.0
2023-05-17,Coriander Green,KG,60.0,70.0,66.67
2023-05-17,Garlic Green,KG,90.0,100.0,96.67
2023-05-17,Capsicum,KG,60.0,70.0,64.0
2023-05-17,Chilli Green(Akbare),KG,350.0,400.0,375.0
2023-05-17,Chilli Green(Machhe),KG,50.0,60.0,56.67
2023-05-17,Chilli Green(Bullet),KG,90.0,100.0,95.0
2023-05-17,Chilli Green,KG,90.0,100.0,96.0
2023-05-17,Chilli Dry,KG,450.0,480.0,465.0
2023-05-17,Ginger,KG,250.0,300.0,275.0
2023-05-17,Avocado,KG,450.0,500.0,483.33
2023-05-17,Kiwi,KG,450.0,500.0,483.33
2023-05-17,Papaya(Indian),KG,90.0,100.0,96.67
2023-05-17,Papaya(Nepali),KG,60.0,70.0,66.67
2023-05-17,Pear(Chinese),KG,300.0,320.0,310.0
2023-05-17,Jack Fruit,KG,50.0,60.0,56.67
2023-05-17,Cucumber(Local),KG,90.0,100.0,95.0
2023-05-17,Sugarbeet,KG,70.0,80.0,76.67
2023-05-17,Soyabean Green,KG,110.0,120.0,116.67
2023-05-17,Neuro,KG,70.0,80.0,76.67
2023-05-17,French Bean(Local),KG,70.0,80.0,75.0
2023-05-17,Green Peas,KG,130.0,140.0,136.67
2023-05-17,Cowpea(Short),KG,70.0,80.0,76.67
2023-05-17,Cow pea(Long),KG,40.0,50.0,45.0
2023-05-17,Brinjal Round,KG,60.0,70.0,66.67
2023-05-17,Brinjal Long,KG,40.0,50.0,45.0
2023-05-17,Raddish White(Hybrid),KG,25.0,30.0,27.5
2023-05-17,Raddish White(Local),KG,20.0,25.0,22.5
2023-05-17,Raddish Red,KG,50.0,60.0,55.0
2023-05-17,Cauli Local(Jyapu),KG,60.0,70.0,66.67
2023-05-17,Cauli Local,KG,50.0,60.0,55.0
2023-05-17,Cabbage(Local),KG,10.0,15.0,11.8
2023-05-17,Carrot(Local),KG,60.0,70.0,65.0
2023-05-17,Onion Dry (Indian),KG,34.0,35.0,34.5
2023-05-17,Potato White,KG,26.0,27.0,26.67
2023-05-17,Potato Red(Indian),KG,30.0,31.0,30.67
2023-05-17,Potato Red,KG,34.0,35.0,34.6
2023-05-17,Tomato Small(Terai),KG,40.0,50.0,45.0
2023-05-17,Tomato Small(Indian),KG,35.0,40.0,37.5
2023-05-17,Tomato Small(Tunnel),KG,40.0,50.0,45.0
2023-05-17,Tomato Small(Local),KG,25.0,30.0,28.0
2023-05-17,Tomato Big(Indian),KG,60.0,70.0,65.0
2023-05-17,Brocauli,KG,100.0,120.0,110.0
2023-05-17,French Bean(Hybrid),KG,80.0,90.0,86.67
2023-05-17,French Bean(Rajma),KG,100.0,110.0,105.0
2023-05-17,Tomato Big(Nepali),KG,50.0,60.0,55.0
2023-05-17,Bitter Gourd,KG,50.0,60.0,55.0
2023-05-17,Mushroom(Button),KG,250.0,300.0,276.0
2023-05-17,Mushroom(Kanya),KG,100.0,120.0,110.0
2023-05-17,Yam,KG,130.0,140.0,135.0
2023-05-17,Onion Green,KG,80.0,90.0,86.67
2023-05-17,Fenugreek Leaf,KG,110.0,120.0,116.67
2023-05-17,Mustard Leaf,KG,40.0,50.0,46.67
2023-05-17,Cress Leaf,KG,110.0,120.0,116.67
2023-05-17,Spinach Leaf,KG,110.0,120.0,116.67
2023-05-17,Brd Leaf Mustard,KG,40.0,50.0,46.67
2023-05-17,Christophine,KG,40.0,50.0,46.67
2023-05-17,Barela,KG,110.0,120.0,116.67
2023-05-17,Asparagus,KG,300.0,350.0,325.0
2023-05-17,Turnip,KG,70.0,80.0,76.67
2023-05-17,Squash(Round),KG,40.0,50.0,45.0
2023-05-17,Squash(Long),KG,40.0,50.0,45.0
2023-05-17,Pumpkin,KG,45.0,50.0,48.75
2023-05-17,Sponge Gourd,KG,60.0,70.0,63.33
2023-05-17,Smooth Gourd,KG,50.0,60.0,55.0
2023-05-17,Snake Gourd,KG,30.0,40.0,35.0
2023-05-17,Pointed Gourd(Terai),KG,80.0,90.0,85.0
2023-05-17,Pointed Gourd(Local),KG,90.0,100.0,95.0
2023-05-17,Bottle Gourd,KG,50.0,60.0,56.0
2023-05-17,Okara,KG,60.0,70.0,64.0
2023-05-18,Banana,Per Dozen,140.0,150.0,146.67
2023-05-18,Lime,KG,180.0,200.0,193.33
2023-05-18,Pomegranate,KG,250.0,280.0,265.0
2023-05-18,Mango(Maldah),KG,200.0,220.0,206.67
2023-05-18,Sweet Orange,KG,150.0,180.0,170.0
2023-05-18,Grapes(Green),KG,200.0,250.0,225.0
2023-05-18,Grapes(Black),KG,320.0,350.0,340.0
2023-05-18,Water Melon(Green),KG,40.0,45.0,43.33
2023-05-18,Apple(Fuji),KG,250.0,300.0,283.33
2023-05-18,Mango(Dushari),KG,200.0,220.0,210.0
2023-05-18,Gundruk,KG,250.0,300.0,283.33
2023-05-18,Mint,KG,160.0,200.0,180.0
2023-05-18,Bamboo Shoot,KG,90.0,100.0,96.67
2023-05-18,Tamarind,KG,140.0,150.0,146.67
2023-05-18,Turnip A,KG,70.0,80.0,76.67
2023-05-18,Fennel Leaf,KG,110.0,120.0,116.67
2023-05-18,Parseley,KG,160.0,200.0,180.0
2023-05-18,Celery,KG,160.0,200.0,180.0
2023-05-18,Knolkhol,KG,70.0,80.0,76.67
2023-05-18,Lettuce,KG,70.0,80.0,76.67
2023-05-18,Red Cabbbage,KG,60.0,70.0,66.67
2023-05-18,Mandarin,KG,180.0,200.0,193.33
2023-05-18,Tofu,KG,110.0,120.0,116.67
2023-05-18,Pineapple,1 Pc,180.0,200.0,190.0
2023-05-18,Chilli Green(Bullet),KG,120.0,130.0,126.67
2023-05-18,Cucumber(Hybrid),KG,50.0,60.0,56.67
2023-05-18,Fish Fresh(Mungari),KG,300.0,320.0,310.0
2023-05-18,Fish Fresh(Chhadi),KG,250.0,300.0,275.0
2023-05-18,Fish Fresh(Bachuwa),KG,260.0,300.0,280.0
2023-05-18,Fish Fresh(Rahu),KG,330.0,350.0,336.67
2023-05-18,Clive Green,KG,80.0,90.0,86.67
2023-05-18,Clive Dry,KG,80.0,90.0,85.0
2023-05-18,Garlic Dry Nepali,KG,120.0,130.0,126.67
2023-05-18,Garlic Dry Chinese,KG,250.0,260.0,255.0
2023-05-18,Coriander Green,KG,60.0,70.0,65.0
2023-05-18,Garlic Green,KG,90.0,100.0,96.67
2023-05-18,Capsicum,KG,50.0,60.0,56.0
2023-05-18,Chilli Green(Akbare),KG,300.0,350.0,325.0
2023-05-18,Chilli Green(Machhe),KG,50.0,60.0,56.67
2023-05-18,Drumstick,KG,70.0,80.0,76.67
2023-05-18,Chilli Green,KG,90.0,100.0,95.0
2023-05-18,Chilli Dry,KG,450.0,480.0,465.0
2023-05-18,Ginger,KG,260.0,300.0,280.0
2023-05-18,Avocado,KG,400.0,500.0,450.0
2023-05-18,Kiwi,KG,400.0,500.0,450.0
2023-05-18,Papaya(Indian),KG,90.0,100.0,96.67
2023-05-18,Papaya(Nepali),KG,60.0,70.0,66.67
2023-05-18,Pear(Chinese),KG,300.0,320.0,310.0
2023-05-18,Jack Fruit,KG,60.0,70.0,66.67
2023-05-18,Cucumber(Local),KG,90.0,100.0,95.0
2023-05-18,Sugarbeet,KG,70.0,80.0,76.67
2023-05-18,French Bean(Rajma),KG,110.0,120.0,116.67
2023-05-18,Neuro,KG,70.0,80.0,76.67
2023-05-18,Green Peas,KG,120.0,130.0,126.67
2023-05-18,Cowpea(Short),KG,60.0,70.0,65.0
2023-05-18,Cow pea(Long),KG,30.0,40.0,35.0
2023-05-18,Brinjal Round,KG,60.0,70.0,65.0
2023-05-18,Brinjal Long,KG,30.0,40.0,35.0
2023-05-18,Raddish White(Hybrid),KG,25.0,30.0,27.5
2023-05-18,Raddish White(Local),KG,20.0,25.0,22.5
2023-05-18,Raddish Red,KG,50.0,60.0,56.67
2023-05-18,Cauli Local(Jyapu),KG,70.0,80.0,76.67
2023-05-18,Cauli Local,KG,60.0,70.0,65.0
2023-05-18,French Bean(Local),KG,70.0,80.0,75.0
2023-05-18,Cabbage(Local),KG,10.0,15.0,12.5
2023-05-18,Onion Dry (Indian),KG,34.0,35.0,34.5
2023-05-18,Potato White,KG,27.0,28.0,27.5
2023-05-18,Potato Red(Mude),KG,36.0,37.0,36.67
2023-05-18,Potato Red(Indian),KG,29.0,31.0,29.8
2023-05-18,Potato Red,KG,35.0,36.0,35.5
2023-05-18,Tomato Small(Terai),KG,40.0,50.0,45.0
2023-05-18,Tomato Small(Indian),KG,30.0,40.0,35.0
2023-05-18,Tomato Small(Tunnel),KG,40.0,50.0,45.0
2023-05-18,Tomato Small(Local),KG,20.0,30.0,25.0
2023-05-18,Tomato Big(Indian),KG,60.0,70.0,65.0
2023-05-18,Carrot(Local),KG,60.0,70.0,65.0
2023-05-18,French Bean(Hybrid),KG,80.0,90.0,86.67
2023-05-18,Tomato Big(Nepali),KG,50.0,60.0,55.0
2023-05-18,Soyabean Green,KG,110.0,120.0,116.67
2023-05-18,Asparagus,KG,300.0,350.0,333.33
2023-05-18,Mushroom(Button),KG,280.0,320.0,300.0
2023-05-18,Mushroom(Kanya),KG,100.0,120.0,110.0
2023-05-18,Onion Green,KG,80.0,90.0,86.67
2023-05-18,Fenugreek Leaf,KG,110.0,120.0,116.67
2023-05-18,Mustard Leaf,KG,40.0,50.0,46.67
2023-05-18,Cress Leaf,KG,110.0,120.0,116.67
2023-05-18,Spinach Leaf,KG,110.0,120.0,116.67
2023-05-18,Brd Leaf Mustard,KG,40.0,50.0,45.0
2023-05-18,Christophine,KG,40.0,50.0,45.0
2023-05-18,Barela,KG,110.0,120.0,115.0
2023-05-18,Brocauli,KG,80.0,90.0,85.0
2023-05-18,Turnip,KG,70.0,80.0,75.0
2023-05-18,Okara,KG,60.0,70.0,65.0
2023-05-18,Bottle Gourd,KG,40.0,50.0,46.67
2023-05-18,Pointed Gourd(Local),KG,90.0,100.0,96.67
2023-05-18,Pointed Gourd(Terai),KG,90.0,110.0,100.0
2023-05-18,Snake Gourd,KG,30.0,40.0,35.0
2023-05-18,Bitter Gourd,KG,40.0,50.0,45.0
2023-05-18,Sponge Gourd,KG,60.0,70.0,66.67
2023-05-18,Pumpkin,KG,40.0,50.0,45.0
2023-05-18,Squash(Long),KG,40.0,50.0,45.0
2023-05-18,Squash(Round),KG,40.0,50.0,45.0
2023-05-18,Smooth Gourd,KG,50.0,60.0,55.0
2023-05-19,Apple(Fuji),KG,250.0,300.0,283.33
2023-05-19,Water Melon(Green),KG,40.0,45.0,43.33
2023-05-19,Grapes(Black),KG,300.0,350.0,325.0
2023-05-19,Grapes(Green),KG,200.0,220.0,210.0
2023-05-19,Mango(Dushari),KG,220.0,250.0,235.0
2023-05-19,Mango(Maldah),KG,220.0,250.0,235.0
2023-05-19,Pomegranate,KG,250.0,280.0,265.0
2023-05-19,Lime,KG,180.0,200.0,190.0
2023-05-19,Banana,Per Dozen,140.0,150.0,146.67
2023-05-19,Gundruk,KG,250.0,300.0,275.0
2023-05-19,Fennel Leaf,KG,110.0,120.0,115.0
2023-05-19,Bamboo Shoot,KG,90.0,100.0,96.67
2023-05-19,Tamarind,KG,140.0,150.0,146.67
2023-05-19,Turnip A,KG,70.0,80.0,76.67
2023-05-19,Mint,KG,175.0,200.0,187.5
2023-05-19,Sweet Orange,KG,150.0,180.0,165.0
2023-05-19,Parseley,KG,175.0,200.0,187.5
2023-05-19,Celery,KG,175.0,200.0,187.5
2023-05-19,Knolkhol,KG,70.0,80.0,76.67
2023-05-19,Lettuce,KG,80.0,90.0,86.67
2023-05-19,Red Cabbbage,KG,70.0,80.0,76.67
2023-05-19,Drumstick,KG,70.0,80.0,76.67
2023-05-19,Tofu,KG,90.0,100.0,96.67
2023-05-19,Mandarin,KG,180.0,200.0,190.0
2023-05-19,Papaya(Nepali),KG,60.0,70.0,66.67
2023-05-19,Cucumber(Local),KG,90.0,100.0,95.0
2023-05-19,Sugarbeet,KG,70.0,80.0,76.67
2023-05-19,Fish Fresh(Chhadi),KG,260.0,300.0,280.0
2023-05-19,Fish Fresh(Bachuwa),KG,260.0,300.0,280.0
2023-05-19,Fish Fresh(Rahu),KG,330.0,350.0,343.33
2023-05-19,Clive Green,KG,80.0,90.0,85.0
2023-05-19,Clive Dry,KG,90.0,100.0,95.0
2023-05-19,Garlic Dry Nepali,KG,120.0,130.0,126.67
2023-05-19,Garlic Dry Chinese,KG,250.0,260.0,255.0
2023-05-19,Coriander Green,KG,50.0,60.0,56.67
2023-05-19,Garlic Green,KG,110.0,120.0,115.0
2023-05-19,Capsicum,KG,50.0,60.0,55.0
2023-05-19,Chilli Green(Akbare),KG,300.0,350.0,325.0
2023-05-19,Chilli Green(Machhe),KG,25.0,35.0,30.0
2023-05-19,Fish Fresh(Mungari),KG,300.0,320.0,313.33
2023-05-19,Chilli Green,KG,80.0,90.0,86.0
2023-05-19,Chilli Dry,KG,450.0,480.0,465.0
2023-05-19,Ginger,KG,260.0,300.0,280.0
2023-05-19,Avocado,KG,400.0,500.0,450.0
2023-05-19,Kiwi,KG,400.0,500.0,450.0
2023-05-19,Papaya(Indian),KG,90.0,100.0,96.67
2023-05-19,Pear(Chinese),KG,300.0,320.0,310.0
2023-05-19,Jack Fruit,KG,60.0,70.0,66.67
2023-05-19,Cucumber(Hybrid),KG,50.0,60.0,56.67
2023-05-19,Pineapple,1 Pc,180.0,200.0,190.0
2023-05-19,Chilli Green(Bullet),KG,120.0,140.0,130.0
2023-05-19,Neuro,KG,70.0,80.0,76.67
2023-05-19,Asparagus,KG,300.0,350.0,325.0
2023-05-19,Cowpea(Short),KG,50.0,60.0,56.67
2023-05-19,Cow pea(Long),KG,25.0,35.0,30.0
2023-05-19,Brinjal Round,KG,50.0,60.0,56.67
2023-05-19,Brinjal Long,KG,30.0,40.0,35.0
2023-05-19,Raddish White(Hybrid),KG,25.0,30.0,27.5
2023-05-19,Raddish White(Local),KG,20.0,25.0,22.5
2023-05-19,Raddish Red,KG,50.0,60.0,56.67
2023-05-19,Cauli Local(Jyapu),KG,70.0,80.0,75.0
2023-05-19,Cauli Local,KG,60.0,70.0,66.0
2023-05-19,Carrot(Local),KG,70.0,80.0,76.67
2023-05-19,Green Peas,KG,130.0,140.0,135.0
2023-05-19,Onion Dry (Indian),KG,34.0,35.0,34.67
2023-05-19,Potato Red(Mude),KG,36.0,37.0,36.67
2023-05-19,Potato Red(Indian),KG,29.0,30.0,29.5
2023-05-19,Potato Red,KG,34.0,36.0,35.0
2023-05-19,Tomato Small(Terai),KG,40.0,50.0,45.0
2023-05-19,Tomato Small(Indian),KG,35.0,45.0,40.0
2023-05-19,Tomato Small(Tunnel),KG,55.0,65.0,59.0
2023-05-19,Tomato Small(Local),KG,35.0,45.0,38.75
2023-05-19,Tomato Big(Indian),KG,60.0,70.0,66.67
2023-05-19,Tomato Big(Nepali),KG,50.0,60.0,55.0
2023-05-19,Brocauli,KG,60.0,70.0,65.0
2023-05-19,Potato White,KG,27.0,28.0,27.5
2023-05-19,French Bean(Local),KG,60.0,70.0,66.0
2023-05-19,Cabbage(Local),KG,10.0,15.0,12.33
2023-05-19,French Bean(Rajma),KG,110.0,120.0,116.67
2023-05-19,French Bean(Hybrid),KG,60.0,70.0,65.0
2023-05-19,Mushroom(Kanya),KG,90.0,110.0,100.0
2023-05-19,Onion Green,KG,80.0,90.0,86.67
2023-05-19,Fenugreek Leaf,KG,110.0,120.0,115.0
2023-05-19,Mustard Leaf,KG,40.0,50.0,45.0
2023-05-19,Cress Leaf,KG,110.0,120.0,116.67
2023-05-19,Spinach Leaf,KG,110.0,120.0,116.67
2023-05-19,Brd Leaf Mustard,KG,30.0,40.0,35.0
2023-05-19,Christophine,KG,40.0,50.0,45.0
2023-05-19,Barela,KG,110.0,120.0,115.0
2023-05-19,Okara,KG,50.0,60.0,55.0
2023-05-19,Turnip,KG,70.0,80.0,76.67
2023-05-19,Mushroom(Button),KG,280.0,320.0,300.0
2023-05-19,Soyabean Green,KG,110.0,120.0,116.67
2023-05-19,Squash(Long),KG,30.0,40.0,35.0
2023-05-19,Pumpkin,KG,45.0,50.0,47.5
2023-05-19,Sponge Gourd,KG,50.0,60.0,56.67
2023-05-19,Smooth Gourd,KG,40.0,50.0,46.67
2023-05-19,Snake Gourd,KG,30.0,40.0,36.67
2023-05-19,Pointed Gourd(Terai),KG,80.0,90.0,86.67
2023-05-19,Pointed Gourd(Local),KG,80.0,90.0,85.0
2023-05-19,Bottle Gourd,KG,40.0,50.0,46.67
2023-05-19,Bitter Gourd,KG,40.0,50.0,45.0
2023-05-19,Squash(Round),KG,30.0,40.0,36.67
2023-05-20,Pomegranate,KG,250.0,280.0,270.0
2023-05-20,Mango(Maldah),KG,220.0,250.0,240.0
2023-05-20,Mango(Dushari),KG,220.0,250.0,240.0
2023-05-20,Grapes(Green),KG,200.0,220.0,213.33
2023-05-20,Pineapple,1 Pc,200.0,220.0,210.0
2023-05-20,Water Melon(Green),KG,40.0,45.0,43.33
2023-05-20,Sweet Orange,KG,150.0,180.0,170.0
2023-05-20,Mandarin,KG,180.0,200.0,193.33
2023-05-20,Lime,KG,180.0,200.0,190.0
2023-05-20,Grapes(Black),KG,300.0,350.0,325.0
2023-05-20,Banana,Per Dozen,140.0,160.0,150.0
2023-05-20,Turnip A,KG,70.0,80.0,76.67
2023-05-20,Gundruk,KG,250.0,300.0,283.33
2023-05-20,Tofu,KG,90.0,100.0,96.67
2023-05-20,Bamboo Shoot,KG,90.0,100.0,96.67
2023-05-20,Tamarind,KG,140.0,150.0,146.67
2023-05-20,Mint,KG,160.0,200.0,180.0
2023-05-20,Fennel Leaf,KG,110.0,120.0,116.67
2023-05-20,Parseley,KG,160.0,200.0,180.0
2023-05-20,Celery,KG,120.0,150.0,140.0
2023-05-20,Knolkhol,KG,70.0,80.0,76.67
2023-05-20,Lettuce,KG,70.0,80.0,76.67
2023-05-20,Apple(Fuji),KG,250.0,300.0,275.0
2023-05-20,Cucumber(Local),KG,100.0,120.0,110.0
2023-05-20,Red Cabbbage,KG,70.0,80.0,76.67
2023-05-20,Jack Fruit,KG,60.0,70.0,65.0
2023-05-20,Fish Fresh(Mungari),KG,300.0,320.0,310.0
2023-05-20,Fish Fresh(Chhadi),KG,260.0,300.0,280.0
2023-05-20,Fish Fresh(Bachuwa),KG,260.0,300.0,280.0
2023-05-20,Fish Fresh(Rahu),KG,330.0,350.0,343.33
2023-05-20,Clive Green,KG,70.0,80.0,75.0
2023-05-20,Clive Dry,KG,80.0,90.0,86.67
2023-05-20,Garlic Dry Nepali,KG,130.0,140.0,136.67
2023-05-20,Garlic Dry Chinese,KG,240.0,260.0,250.0
2023-05-20,Coriander Green,KG,60.0,70.0,65.0
2023-05-20,Garlic Green,KG,110.0,120.0,116.67
2023-05-20,Cucumber(Hybrid),KG,50.0,60.0,56.67
2023-05-20,Capsicum,KG,50.0,60.0,55.0
2023-05-20,Chilli Green(Machhe),KG,30.0,40.0,35.0
2023-05-20,Chilli Green(Bullet),KG,120.0,130.0,126.67
2023-05-20,Chilli Green,KG,80.0,90.0,85.0
2023-05-20,Chilli Dry,KG,440.0,480.0,460.0
2023-05-20,Ginger,KG,260.0,300.0,280.0
2023-05-20,Avocado,KG,400.0,500.0,450.0
2023-05-20,Kiwi,KG,400.0,500.0,450.0
2023-05-20,Papaya(Indian),KG,90.0,100.0,96.67
2023-05-20,Papaya(Nepali),KG,60.0,70.0,65.0
